trading_day,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
20240412,3549.75,3572.17885793,-27.9686714216,-47.23872728,19.2700558584,63.4093376764,58.7404994571,72.7470141151,53.8336708258,89.3890758144,3549.75,3658.15641125,3441.34358875,3549.75,3571.68880014,-25.9263525078,-44.2402895446,36.6278740735,58.4062994168,48.3289136968,78.5610708568,53.2767463884,89.3890758144,3549.75,3658.15641125,3441.34358875
20240415,3552.35,3575.59039527,-22.1024753235,-42.2114768887,20.1090015653,67.2095548317,63.3007600434,75.0271444083,52.574947064,77.6168556566,3552.35,3663.68602292,3441.01397708,3552.35,3575.14700965,-20.2115270543,-39.4345370465,38.4460199845,61.3045253441,52.6541175792,78.6053408739,52.026176861,77.6168556566,3552.35,3663.68602292,3441.01397708
20240416,3555,3577.53416715,-18.211837636,-37.4115490382,19.1997114022,64.884115827,65.1676694451,64.317008591,50.8671461991,62.6533853039,3555,3667.8326194,3442.1673806,3555,3577.13300873,-16.4610338692,-34.839836411,36.7576050836,60.0426158936,55.1169503507,69.8939469793,50.3298134821,62.6533853039,3555,3667.8326194,3442.1673806
20240417,3560.85,3586.05472266,-9.29225725258,-31.7876906811,22.4954334285,69.610100169,67.2345902759,74.3611199552,59.292603765,112.391560708,3560.85,3683.72436673,3437.97563327,3560.85,3585.6917698,-7.67120548931,-29.4061102267,43.4698094748,68.0985860343,59.4441622452,85.4074336125,58.8740735022,112.391560708,3560.85,3683.72436673,3437.97563327
20240418,3565.15,3594.04951098,-1.95877111453,-25.8219067678,23.8631356532,75.6892230576,70.0611463512,86.9453764705,59.6077896169,137.850594635,3565.15,3696.67836196,3433.62163804,3565.15,3593.72112506,-0.457850428232,-23.616458267,46.3172156775,73.8451726444,64.244499045,93.0465198434,59.1934888064,137.850594635,3565.15,3696.67836196,3433.62163804
20240419,3568.8,3600.42574803,3.09121114309,-20.0392831856,23.1304943287,83.5725677831,76.2906303366,98.1364426761,58.1530939217,116.916879887,3568.8,3706.56588838,3431.03411162,3568.8,3600.12863696,4.48090753048,-17.9969851075,44.955785276,76.2863921526,68.2584634142,92.3422496294,57.7445274746,116.916879887,3568.8,3706.56588838,3431.03411162
20240422,3570.15,3606.3852006,7.17206663104,-14.5970132223,21.7690798533,82.0688083846,80.4435330751,85.3193590036,58.3960767552,108.047203938,3570.15,3711.01770389,3429.28229611,3570.15,3606.11638582,8.45878447785,-12.7058311904,42.3292313366,77.4240108085,71.3136458789,89.6447406676,57.9906216206,108.047203938,3570.15,3711.01770389,3429.28229611
20240423,3570.8,3609.11041959,8.05396689504,-10.0668171988,18.1207840938,73.1715652768,79.6043138148,60.3060682008,53.6953835665,85.7747490632,3570.8,3712.73463284,3428.86536716,3570.8,3608.86720622,9.24534009783,-8.31559693278,35.1218740612,71.1648793861,71.264057048,70.9665240623,53.3096414548,85.7747490632,3570.8,3712.73463284,3428.86536716
20240424,3574.2,3615.09990344,11.6046982484,-5.73251410937,17.3372123577,74.0432161485,76.42786327,69.2739219055,58.4545419958,95.3690710076,3574.2,3722.27781738,3426.12218262,3574.2,3614.87985325,12.7077943289,-4.11091868045,33.6374260187,75.371180852,72.633098316,80.847345924,58.1203640121,95.3690710076,3574.2,3722.27781738,3426.12218262
20240425,3581.95,3620.04276978,13.855502605,-1.8149107665,15.6704133715,72.7641564302,73.3263126185,71.6398440536,57.5930936476,96.3333154209,3581.95,3732.40062313,3431.49937687,3581.95,3619.84367675,14.8768648025,-0.313361983862,30.3804535727,75.5348102232,73.6003356184,79.4037594327,57.2617447201,96.3333154209,3581.95,3732.40062313,3431.49937687
20240426,3591.3,3625.2767917,16.0992324843,1.76791788367,14.3313146007,80.5962366307,75.8012030698,90.1863037525,58.643269067,82.0251499959,3591.3,3740.47117684,3442.12882316,3591.3,3625.09665991,17.0449187085,3.15829415462,27.7732491078,77.7374925297,74.9793879222,83.2537017449,58.3226511171,82.0251499959,3591.3,3740.47117684,3442.12882316
